Epoch,Train Accuracy,Validation Accuracy,Train F1 Score,Validation F1 Score
1,0.9722222222222222,0.8710691823899371,0.9719593857547684,0.8672046743908437
2,0.9808700209643606,0.8679245283018868,0.9806867394408424,0.8718189730945979
3,0.9724842767295597,0.8448637316561844,0.972535692942661,0.8371601447803044
4,0.9764150943396226,0.8291404612159329,0.976519658613317,0.82959910977567
5,0.9837526205450734,0.8427672955974843,0.9837587322552657,0.8386984741997046
6,0.9931865828092243,0.8930817610062893,0.9932436740934649,0.8916823951305648
7,0.9992138364779874,0.9088050314465409,0.9992110260957779,0.9085449217607388
8,1.0,0.89937106918239,1.0,0.8963070859115088
9,1.0,0.89937106918239,1.0,0.8954514768192284
10,1.0,0.90041928721174,1.0,0.8960021830868131
11,1.0,0.90041928721174,1.0,0.8958781560312639
12,1.0,0.9014675052410901,1.0,0.8970145196676274
